City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,komsomolskiy,40.4272,71.7189,13.4,71,85,2.06,UZ,1678568002
135,pevek,69.7008,170.3133,-29.38,98,46,4.49,RU,1678567899
136,cape town,-33.9258,18.4232,16.73,71,0,5.66,ZA,1678567803
137,ambilobe,-13.2,49.05,23.02,97,100,0.54,MG,1678568002
138,qaanaaq,77.484,-69.3632,-19.99,69,4,1.55,GL,1678568003
139,linhares,-19.3911,-40.0722,25.35,70,91,3.13,BR,1678567996
140,mandalgovi,45.7625,106.2708,-7.62,31,0,4.7,MN,1678568003
141,berlevag,70.8578,29.0864,-8.03,57,48,10.8,NO,1678568004
142,inta,66.0317,60.1659,-9.49,93,100,7.19,RU,1678568004
143,madingou,-4.1536,13.55,22.73,97,100,1.14,CG,1678568005
144,magistralnyy,56.1725,107.4458,-10.79,90,100,3.95,RU,1678568005
145,portland,45.5234,-122.6762,11.82,69,75,3.09,US,1678567873
146,dolores,-36.3132,-57.6792,30.63,50,69,6.71,AR,1678568007
147,cidreira,-30.1811,-50.2056,25.66,83,57,5.65,BR,1678568007
148,bethel,41.3712,-73.414,5.57,71,95,0.89,US,1678568008
149,narsaq,60.9167,-46.05,3.12,73,3,3.41,GL,1678568008
150,freeport,40.6576,-73.5832,7.25,66,100,7.72,US,1678568008
151,springfield,37.2153,-93.2982,5.68,91,100,6.71,US,1678567863
152,saint-joseph,-21.3667,55.6167,24.21,83,99,5.52,RE,1678567970
153,ilulissat,69.2167,-51.1,-4.99,39,0,4.12,GL,1678568009
154,banda aceh,5.5577,95.3222,25.69,82,100,1.14,ID,1678568010
155,nouadhibou,20.931,-17.0347,18.99,82,0,8.23,MR,1678568010
156,aljezur,37.3191,-8.8033,14.06,95,96,2.63,PT,1678568010
157,corn island,12.1694,-83.0418,25.96,67,57,3.95,NI,1678568011
158,dong hoi,17.4833,106.6,19.97,92,86,0.61,VN,1678568011
159,barao de melgaco,-16.1944,-55.9675,23.85,91,98,3.18,BR,1678568012
160,mayskiy,47.6931,40.1025,12.67,69,100,7.44,RU,1678568012
161,mabaruma,8.2,-59.7833,26.1,68,100,2.89,GY,1678568013
162,hilo,19.7297,-155.09,27.93,77,100,2.57,US,1678567787
163,port blair,11.6667,92.75,25.72,73,56,0.73,IN,1678568013
164,muros,42.7762,-9.0603,15.61,90,94,4.69,ES,1678568014
165,asau,46.4333,26.4,5.71,67,43,5.7,RO,1678568014
166,panama city,8.9936,-79.5197,29.97,65,40,4.12,PA,1678567876
167,palia kalan,28.45,80.5833,17.57,32,5,1.44,IN,1678568015
168,reconquista,-29.15,-59.65,38.31,19,0,4.93,AR,1678568016
169,pangnirtung,66.1451,-65.7125,-18.0,85,0,0.0,CA,1678567970
